name,Ford Mustang Mach-e,,
range_miles,285,,
range_speed_mph,70,,
Battery State of Charge (%),Charging Speed (kW),"Time
(Min)",Energy Charged (kWh)
0%,50,0,0
1%,58,1.083333333,0.9
2%,66,2.05,1.8
3%,74,2.9,2.8
4%,82,3.65,3.7
5%,90,4.35,4.6
6%,98,4.983333333,5.5
7%,106,5.566666667,6.4
8%,114,6.1,7.4
9%,122,6.6,8.3
10%,130,7.066666667,9.2
11%,131,7.533333333,10.1
12%,132,7.983333333,11.0
13%,133,8.433333333,12.0
14%,136,8.866666667,12.9
15%,139,9.3,13.8
16%,143,9.716666667,14.7
17%,118,10.18333333,15.6
18%,111,10.7,16.6
19%,111,11.23333333,17.5
20%,112,11.76666667,18.4
21%,112,12.3,19.3
22%,111,12.81666667,20.2
23%,111,13.36666667,21.2
24%,112,13.9,22.1
25%,112,14.41666667,23.0
26%,112,14.95,23.9
27%,112,15.48333333,24.8
28%,112,16.01666667,25.8
29%,112,16.55,26.7
30%,112,17.06666667,27.6
31%,113,17.6,28.5
32%,112,18.13333333,29.4
33%,107,18.66666667,30.4
34%,105,19.23333333,31.3
35%,103,19.8,32.2
36%,103,20.38333333,33.1
37%,103,20.95,34.0
38%,102,21.53333333,35.0
39%,97,22.13333333,35.9
40%,96,22.75,36.8
41%,95,23.36666667,37.7
42%,96,23.98333333,38.6
43%,96,24.6,39.6
44%,96,25.21666667,40.5
45%,90,25.86666667,41.4
46%,85,26.53333333,42.3
47%,81,27.25,43.2
48%,79,28,44.2
49%,78,28.75,45.1
50%,77,29.51666667,46.0
51%,77,30.28333333,46.9
52%,77,31.06666667,47.8
53%,77,31.83333333,48.8
54%,76,32.6,49.7
55%,77,33.38333333,50.6
56%,77,34.15,51.5
57%,77,34.91666667,52.4
58%,78,35.68333333,53.4
59%,78,36.45,54.3
60%,77,37.21666667,55.2
61%,78,37.98333333,56.1
62%,78,38.75,57.0
63%,78,39.5,58.0
64%,78,40.26666667,58.9
65%,78,41.03333333,59.8
66%,79,41.78333333,60.7
67%,79,42.53333333,61.6
68%,77,43.3,62.6
69%,77,44.06666667,63.5
70%,77,44.83333333,64.4
71%,77,45.6,65.3
72%,78,46.36666667,66.2
73%,78,47.13333333,67.2
74%,78,47.9,68.1
75%,78,48.65,69.0
76%,78,49.41666667,69.9
77%,79,50.16666667,70.8
78%,79,50.91666667,71.8
79%,77,51.68333333,72.7
80%,12,53.01666667,73.6
81%,11,58.18333333,74.5
82%,11,63.58333333,75.4
83%,11,68.96666667,76.4
84%,11,74.36666667,77.3
85%,12,79.53333333,78.2
86%,12,84.48333333,79.1
87%,12,89.48333333,80.0
88%,12,94.5,81.0
89%,12,99.53333333,81.9
90%,12,104.6166667,82.8
91%,12,109.7166667,83.7
92%,12,114.85,84.6
93%,11,120,85.6
94%,11,125.2,86.5
95%,11,130.4166667,87.4
96%,11,135.6666667,88.3
97%,11,140.95,89.2
98%,11,146.2666667,90.2
99%,11,151.6166667,91.1
100%,11,157,92.0
