name,EV1_22_LD_>500V,,
range_miles,225,,
range_speed_mph,70,,
Battery State of Charge (%),Charging Speed (kW),"Time
(Min)",Energy Charged (kWh)
0.00,0,0.00000000,0.0
0.01,107,0.45434593,0.8
0.02,107,0.90869185,1.6
0.03,107,1.36303778,2.4
0.04,107,1.81738371,3.2
0.05,107,2.27172963,4.1
0.06,107,2.72607556,4.9
0.07,107,3.18042148,5.7
0.08,107,3.63476741,6.5
0.09,107,4.08911334,7.3
0.10,73,4.75744667,8.2
0.11,213,5.09078000,9.0
0.12,221,5.59078000,10.8
0.13,222,5.92411334,12.1
0.14,223,6.17411334,13.0
0.15,224,6.42411334,13.9
0.16,224,6.59078000,14.5
0.17,224,6.75744667,15.2
0.18,225,7.00744667,16.1
0.19,225,7.25744667,17.0
0.20,225,7.42411334,17.7
0.21,226,7.67411334,18.6
0.22,226,7.84078000,19.2
0.23,227,8.09078000,20.2
0.24,227,8.25744667,20.8
0.25,227,8.50744667,21.7
0.26,227,8.67411334,22.4
0.27,228,8.92411334,23.3
0.28,228,9.09078000,23.9
0.29,228,9.34078000,24.9
0.30,228,9.50744667,25.5
0.31,229,9.75744667,26.5
0.32,229,9.92411334,27.1
0.33,229,10.17411334,28.1
0.34,229,10.42411334,29.0
0.35,229,10.59078000,29.7
0.36,230,10.75744667,30.3
0.37,230,11.00744667,31.3
0.38,231,11.25744667,32.2
0.39,231,11.42411334,32.9
0.40,231,11.59078000,33.5
0.41,232,11.84078000,34.5
0.42,232,12.09078000,35.4
0.43,232,12.25744667,36.1
0.44,233,12.42411334,36.7
0.45,233,12.67411334,37.7
0.46,150,12.92411334,38.5
0.47,150,13.25744667,39.3
0.48,151,13.59078000,40.1
0.49,151,13.92411334,41.0
0.50,152,14.25744667,41.8
0.51,153,14.59078000,42.7
0.52,154,14.92411334,43.5
0.53,155,15.25744667,44.4
0.54,131,15.59078000,45.2
0.55,131,16.09078000,46.3
0.56,131,16.42411334,47.0
0.57,132,16.75744667,47.8
0.58,132,17.09078000,48.5
0.59,131,17.59078000,49.6
0.60,132,17.92411334,50.3
0.61,133,18.25744667,51.0
0.62,133,18.59078000,51.8
0.63,136,19.09078000,52.9
0.64,137,19.42411334,53.7
0.65,137,19.75744667,54.4
0.66,137,20.09078000,55.2
0.67,137,20.42411334,56.0
0.68,138,20.92411334,57.1
0.69,120,21.25744667,57.8
0.70,120,21.59078000,58.5
0.71,121,22.09078000,59.5
0.72,121,22.59078000,60.5
0.73,139,22.92411334,61.2
0.74,140,23.25744667,62.0
0.75,140,23.59078000,62.8
0.76,140,23.92411334,63.6
0.77,126,24.42411334,64.7
0.78,120,24.75744667,65.4
0.79,111,25.25744667,66.4
0.80,104,25.59078000,67.0
0.81,98,26.09078000,67.8
0.82,91,26.59078000,68.6
0.83,84,27.09078000,69.3
0.84,78,27.59078000,70.0
0.85,72,28.25744667,70.8
0.86,68,28.75744667,71.4
0.87,64,29.42411334,72.2
0.88,59,30.25744667,73.0
0.89,55,31.09078000,73.8
0.90,52,31.92411334,74.5
0.91,47,32.92411334,75.4
0.92,45,33.92411334,76.1
0.93,41,35.09078000,77.0
0.94,36,36.59078000,77.9
0.95,32,38.09078000,78.8
0.96,26,39.92411334,79.7
0.97,17,42.09078000,80.5
0.98,13,44.09078000,80.9
0.99,12,44.25744667,81.0
1.00,0,44.75744667,81.0
